COURSE NO.,COURSE TITLE,SECTION,INSTRUCTOR,ROOM,DAYS,HOURS
CHEM F212,Tutorial,1,Anupam Bhattacharya,G101,Th,1
CHEM F213,PHYSICAL CHEMISTRY II,1,K SUMITHRA,G101,M W F,3
CHEM F213,Tutorial,1,K Sumithra,G101,S,1
CHEM F214,INORGANIC CHEMISTRY I,1,N RAJESH,G101,T Th S,3
CHEM F214,Tutorial,1,N Rajesh,G101,M,5
CHEM F311,ORGANIC CHEMISTRY III,1,KVG CHANDRASEKHAR,G101,T Th S,2
CHEM F311,Tutorial,1,KVG Chandrasekhar,F204,Th,8
CHEM F312,PHYSICAL CHEMISTRY IV,1,AMIT NAG,G101,M W F,4
CHEM F312,Tutorial,1,Amit Nag,F204,Th,9
CHEM F313,INSTRU METHODS OF ANAL,1,R KRISHNAN,G101,M W F,9
CHEM F313,Practical,1,N Rajesh,LAB,T,6 7 8
CHEM F325,POLYMER CHEMISTRY,1,SUBIT KUMAR SAHA,G103,M W F,2
CHEM F326,SOLID STATE CHEMISTRY,1,SOUNAK ROY,G103,M W F,3
CHEM F416,APPLIED CRYSTALLOGRAPHY,1,ARIJIT MUKHERJEE,G103,T Th S,2
CHEM G553,ADVANCED PHYSICAL CHEMISTRY,1,DURBA ROY,G103,T Th S,5
CHEM G554,PHY METHODS IN CHEMISTRY,1,CHANCHAL CHAKRABORT,G103,T Th S,3
CS F111,COMPUTER PROGRAMMING,1,NARASIMHA BOLLOJU,F105,M W F,9
CS F111,COMPUTER PROGRAMMING,2,Aneesh Sreevallabh Chivuku,F104,M W F,9
CS F111,Practical,1,Pragati Shrivastava,D311,T,3 4
CS F111,Practical,2,Aneesh Sreevallabh Chivuku,D311,S,4 5
CS F111,Practical,3,Jay Kamlesh Dave,D311,M,2 3
CS F111,Practical,4,Jay Kamlesh Dave,D311,W,2 3
CS F111,Practical,5,Apurba Das,D311,M,7 8
CS F111,Practical,6,Apurba Das,D311,W,7 8
CS F111,Practical,7,Prajna Devi Upadhyay,D311,F,2 3
CS F111,Practical,8,Prajna Devi Upadhyay,D311,T,5 6
CS F111,Practical,9,Pragati Shrivastava,D311,Th,3 4
CS F111,Practical,10,Aruna Malapati,D311,F,7 8
CS F213,OBJECT ORIENTED PROG,1,ARITRA MUKHERJEE,F102,T Th S,4
CS F213,Practical,1,Manik Gupta,D313,W,6 7
CS F213,Practical,2,Abhijit Das,D313,M,6 7
CS F213,Practical,3,Manik Gupta,D313,F,6 7
CS F213,Practical,4,Deepa Kumari,D313,T,2 3
CS F213,Practical,5,Pattiwar Shravan Kumar,D313,Th,2 3
CS F213,Tutorial,1,Subhrakanta Panda,I112,T,1
CS F213,Tutorial,2,Subhrakanta Panda,I112,Th,1
CS F213,Tutorial,3,Aritra Mukherjee,I111,T,1
CS F213,Tutorial,4,Abhijit Das,I111,W,1
CS F214,LOGIC IN COMPUTER SC,1,SAMEERA MUHAMED SAL,F102,M W F,8
CS F214,Tutorial,1,Ramaswamy Venkatakrishna,I114,T,1
CS F214,Tutorial,2,Ramaswamy Venkatakrishna,I114,Th,1
CS F214,Tutorial,3,Tathagata Ray,I113,T,1
CS F214,Tutorial,4,Tathagata Ray,I113,Th,1
CS F215,DIGITAL DESIGN,1,JOYJIT MUKHERJEE,F102,M W F,3
CS F215,DIGITAL DESIGN,2,BVVSN Prabhakar Rao,F105,M W F,3
CS F215,Practical,1,BVVSN Prabhakar Rao,I012,T,2 3
CS F215,Practical,2,S K Chatterjee,I012,S,2 3
CS F215,Practical,3,S K Chatterjee,I012,Th,2 3
CS F215,Practical,4,Joyjit Mukherjee,I013,Th,2 3
CS F215,Practical,5,Joyjit Mukherjee,I012,T,6 7
CS F215,Practical,6,Ankur Bhattacharjee,I013,T,2 3
CS F215,Practical,7,Gowtham Polumati,I012,M,6 7
CS F215,Practical,8,Naresh Bahadursha,I013,S,2 3
CS F215,Practical,9,Shuvra Jyoti Bose,I013,M,6 7
CS F215,Practical,10,Vanmathi S,I012,W,6 7
CS F215,Practical,11,Bishal kumar keshari,I013,W,6 7
CS F215,Practical,12,Parvathy nair,I012,F,6 7
CS F215,Practical,13,Naresh Bahadursha,I013,F,6 7
CS F215,Practical,14,Vanmathi S,I012,Th,6 7
CS F215,Practical,15,Gowtham Polumati,I013,Th,6 7
CS F215,Practical,16,Manish Laxminarayan Bhaiy,I013,T,6 7
CS F215,Tutorial,1,Joyjit Mukherjee,I113,T,9
CS F215,Tutorial,2,Joyjit Mukherjee,I113,S,1
CS F215,Tutorial,3,BVVSN Prabhakar Rao,I114,S,1
CS F215,Tutorial,4,BVVSN Prabhakar Rao,I114,T,9
CS F215,Tutorial,5,Soumya J,I122,S,1
CS F215,Tutorial,6,Soumya J,I122,T,9
CS F215,Tutorial,7,Sourav Nandi,I210,S,1
CS F215,Tutorial,8,Sourav Nandi,I210,T,9
CS F215,Tutorial,9,Subhradeep Pal,I211,S,1
CS F215,Tutorial,10,Subhradeep Pal,I211,T,9
CS F222,DISCR STRUC FOR COMP SCI,1,NL BHANUMURTHY,F102,M W F,2
CS F222,Tutorial,1,Sameera Muhamed Salam,I112,T,9
CS F222,Tutorial,2,Sameera Muhamed Salam,I112,S,1
CS F222,Tutorial,3,TO BE ANNOUNCED,I111,T,9
CS F222,Tutorial,4,Raghunath Reddy M,I111,S,1
CS F301,PRINCIPLES OF PROGG LANG,1,R GURURAJ,F102,T Th,3
CS F301,Tutorial,1,R Gururaj,I122,T,7
CS F301,Tutorial,2,Jabez J Christopher,I212,T,7
CS F301,Tutorial,3,Jabez J Christopher,I111,Th,7
CS F301,Tutorial,4,Jabez J Christopher,I212,M,5
CS F320,FOUNDATIONS OF DATA SCIENCE,1,NL BHANUMURTHY,F106,T Th S,4
CS F342,COMPUTER ARCHITECTURE,1,RAJIB RANJAN MAITI,F102,M W F,7
CS F342,Practical,1,Rajib Ranjan Maiti,D313,T,7 8
CS F342,Practical,2,Rajib Ranjan Maiti,D313,F,4 5
CS F342,Practical,3,Aritra Mukherjee,D313,M,4 5
CS F342,Practical,4,Aritra Mukherjee,D313,W,4 5
CS F342,Tutorial,1,G Geethakumari,I111,M,5
CS F342,Tutorial,2,G Geethakumari,I111,W,5
CS F342,Tutorial,3,Nikumani Choudhury,I112,M,5
CS F342,Tutorial,4,Nikumani Choudhury,I112,W,5
CS F351,THEORY OF COMPUTATION,1,RAGHUNATH REDDY M,F102,T Th S,5
CS F351,Tutorial,1,R Gururaj,I210,F,1
CS F351,Tutorial,2,Raghunath Reddy M,I112,W,1
CS F351,Tutorial,3,R Gururaj,I113,M,1
CS F351,Tutorial,4,R Gururaj,I113,W,1
CS F372,OPERATING SYSTEMS,1,BARSHA MITRA,F102,T Th,9
CS F372,OPERATING SYSTEMS,1,Barsha Mitra,F102,S,3
CS F372,Tutorial,1,Paresh Saxena,A019,W,1
CS F372,Tutorial,2,Paresh Saxena,D312,F,5
CS F372,Tutorial,3,DipanJan Chakraborty,D313,F,1
CS F372,Tutorial,4,DipanJan Chakraborty,D312,W,5
CS F407,ARTIFICIAL INTELLIGENCE,1,JABEZ J CHRISTOPHER,F106,M W F,3
CS F425,DEEP LEARNING,1,PARESH SAXENA,F107,M W F,8
CS F429,NATURAL LANGUAGE PROCESSING,1,ARUNA MALAPATI,F107,M W F,2
CS F433,COMPUTATIONAL NEUROSCIENCE,1,RAMASWAMY VENKATAKR,I111,M W F,9
CS F441,SEL TOPICS FROM COMP SC,1,TATHAGATA RAY,F101,M W F,8
