COURSE NO.,COURSE TITLE,SECTION,INSTRUCTOR,ROOM,DAYS,HOURS
MATH F111,MATHEMATICS I,3,Sushil Bhunia,F107,M W F,1
MATH F111,MATHEMATICS I,4,K Venkata Ratnam,F104,T Th S,2
MATH F111,MATHEMATICS I,5,Kishore Kumar,F103,M W F,5
MATH F111,MATHEMATICS I,6,Rohit Gupta,F106,M W F,5
MATH F111,MATHEMATICS I,7,Sajith P,F108,M W F,1
MATH F111,Tutorial,1,Vikas,J107,T,9
MATH F111,Tutorial,2,Purohit Nisarg Bharatbhi,J115,T,9
MATH F111,Tutorial,3,Ameya kolhatkar,J119,T,9
MATH F111,Tutorial,4,Moreshwar Jagadeorao Tayd,J120,T,9
MATH F111,Tutorial,5,Sayantan Ghosh,J121,T,9
MATH F111,Tutorial,6,Akankshya Sahu,J206,T,9
MATH F111,Tutorial,7,Mintu Mandal,J214,T,9
MATH F111,Tutorial,8,Debarati Mondal,J217,T,9
MATH F111,Tutorial,9,Rabindranath chakrabortty,J218,T,9
MATH F111,Tutorial,10,Subhendu Paul,J219,T,9
MATH F111,Tutorial,11,Bhawna,J220,T,9
MATH F111,Tutorial,12,Sneha Pradhan,G208,T,9
MATH F111,Tutorial,13,Dhrubajyoti Sarkar,G207,T,9
MATH F111,Tutorial,14,Jahir Abbas Sardar,G206,T,9
MATH F111,Tutorial,15,Md Imdadul Islam,G205,T,9
MATH F111,Tutorial,16,Kailash Chand Swami,G204,T,9
MATH F111,Tutorial,17,Sunil Rampuria,G203,T,9
MATH F111,Tutorial,18,TO BE ANNOUNCED,G102,T,9
MATH F111,Tutorial,19,TO BE ANNOUNCED,G108,T,9
MATH F211,MATHEMATICS III,1,TSL Radhika,F105,M W F,4
MATH F211,MATHEMATICS III,2,Jagan Mohan J,F102,M W F,10
MATH F211,MATHEMATICS III,3,Santanu Koley,F208,M W F,10
MATH F211,MATHEMATICS III,4,PK Sahoo,F103,M W F,4
MATH F211,MATHEMATICS III,5,K BHARGAV KUMAR,F103,M W F,10
MATH F211,MATHEMATICS III,6,G Murali Mohan Reddy,F208,M W F,4
MATH F211,MATHEMATICS III,7,Jhuma Sen Gupta,F104,M W F,4
MATH F211,Tutorial,1,Komal Kumar,J220,Th,9
MATH F211,Tutorial,2,Lakhan Valmik Jaybhaye,J219,Th,9
MATH F211,Tutorial,3,Zinnat Hassan,J218,Th,9
MATH F211,Tutorial,4,Sai Swagat Mishra,J217,Th,9
MATH F211,Tutorial,5,Nitin Kumar Sharma,J214,Th,9
MATH F211,Tutorial,6,Amit Kumar Pal,J206,Th,9
MATH F211,Tutorial,7,Sangeeta Dhawan,J204,Th,9
MATH F211,Tutorial,8,Sushil Pathak,J121,Th,9
MATH F211,Tutorial,9,Dheeraj Singh Rana,J120,Th,9
MATH F211,Tutorial,10,Gaurav Narayanrao Gadbail,J119,Th,9
MATH F211,Tutorial,11,Lohakare Santosh Vijay,J115,Th,9
MATH F211,Tutorial,12,Lokesh Kumar Duchaniya,J107,Th,9
MATH F211,Tutorial,13,Kadam Siddheshwar Atmara,I222,Th,9
MATH F211,Tutorial,14,Tapaswini Patro,I221,Th,9
MATH F211,Tutorial,15,Shubham Atmaram Narawad,I213,Th,9
MATH F211,Tutorial,16,Rahul Vijay Bhagat,I212,Th,9
MATH F211,Tutorial,17,Debasmita Mohanty,I211,Th,9
MATH F211,Tutorial,18,Suman Prabha Yadav,I210,Th,9
MATH F211,Tutorial,19,Debismita Nayak,I122,Th,9
MATH F211,Tutorial,20,Aaqid Mohi Ud Din Bhat,I114,Th,10
MATH F212,OPTIMIZATION,1,DK SATPATHI,F208,T Th S,5
MATH F212,OPTIMIZATION,2,Sumit Kumar V,G108,T Th S,4
MATH F212,Tutorial,1,Ashwini S,J206,S,1
MATH F212,Tutorial,2,Vipin V,J121,S,1
MATH F212,Tutorial,3,Santanu Kumar Dash,J120,S,1
MATH F212,Tutorial,4,Tathe Kartik Vilasrao,J119,S,1
MATH F212,Tutorial,5,Amya Ranjan Ray,J115,S,1
MATH F213,DISCRETE MATHEMATICS,1,A MICHAEL ALPHONSE,G108,M W F,3
MATH F213,Tutorial,1,Anshid Aboobacker,J115,T,1
MATH F213,Tutorial,2,Priyanka Vishwakarma,J119,T,1
MATH F214,ELEMENTARY REAL ANALYSIS,1,NIJJWAL KARAK,G108,M W F,2
MATH F214,Tutorial,1,Aleena Philip,J115,Th,1
MATH F214,Tutorial,2,Anjali P V,J119,Th,1
MATH F215,ALGEBRA I,1,PRATYUSHA CHATTOPADH,G108,M W F,8
MATH F215,Tutorial,1,Sunita Kumawat,G201,T,9
MATH F215,Tutorial,2,Amritanshu Rai,G202,T,9
MATH F231,NUMBER THEORY,1,DEBOPAM CHAKRABORTH,I112,M W F,2
MATH F311,INTRODUCTION TO TOPOLOGY,1,SHARAN GOPAL,G108,M W F,4
MATH F311,Tutorial,1,Ruddarraju Amrutha,J115,T,8
MATH F311,Tutorial,2,Hirendra Kumar Garai,J119,T,8
MATH F312,ORDINARY DIFF EQUATIONS,1,K BHARGAV KUMAR,G108,T Th S,2
MATH F312,Tutorial,1,Ankur Pandey,J115,Th,8
MATH F312,Tutorial,2,Shivangi Joshi,J119,Th,8
MATH F313,NUMERICAL ANALYSIS,1,G MURALI MOHAN REDDY,G108,M W F,9
MATH F313,Tutorial,1,Sandhya Mel,G206,Th,9
MATH F313,Tutorial,2,Mayuri Verma,G207,Th,9
MATH F420,MATHEMATICAL MODELLING,1,SANTANU KOLEY,I113,M W F,3
MATH F424,APPLIED STOCHASTIC PROCESS,1,SAYAN GHOSH,I113,T Th S,4
MATH F432,APPLIED STATISTICAL METHODS,1,FARIDA PARVEZ BARBHUI,I112,M W F,8
MATH F456,COSMOLOGY,1,PK SAHOO,I113,M W F,8
ME F112,WORKSHOP PRACTICE,1,KUNDAN KUMAR SINGH,F105,S,1
ME F112,WORKSHOP PRACTICE,2,Prabakaran Saravanan,F104,S,1
ME F112,Practical,1,Prabakaran Saravanan,WS,T,3 4 5
ME F112,Practical,2,Kundan Kumar Singh,WS,F,2 3 4
ME F112,Practical,3,Mrinal Ketan Jagirdar,WS,W,2 3 4
ME F112,Practical,4,Ronanki Suresh,WS,M,2 3 4
ME F112,Practical,5,Vardhanapu Muralidhar,WS,Th,3 4 5
ME F112,Practical,6,Bagadi Ramana Murthy,WS,S,3 4 5
ME F211,MECHANICS OF SOLIDS,1,AMIT KUMAR GUPTA,F103,M W F,3
ME F211,Tutorial,1,Kolla Lakshman Rao,G103,T,1
ME F211,Tutorial,2,Aditya Nema,G104,T,1
ME F211,Tutorial,3,TO BE ANNOUNCED,G105,T,1
ME F211,Tutorial,4,TO BE ANNOUNCED,F102,T,1
ME F212,FLUID MECHANICS,1,SAYAN DAS,F103,M W F,2
ME F212,Tutorial,1,Sayan Das,G103,Th,1
ME F212,Tutorial,2,Pardha Saradhi Gurugubelli,G104,Th,1
ME F212,Tutorial,3,N Jalaiah,G105,Th,1
ME F212,Tutorial,4,Supradeepan K,G106,Th,1
ME F216,MATERIALS SCIENCE AND ENGINEER,1,SUJITH R,F103,M W,8
ME F216,Practical,1,Piyush Chandra Verma,E002,F,6 7
ME F216,Practical,2,Sujith R,E002,T,6 7
ME F216,Practical,3,Kandula Uday Kumar Reddy,E002,Th,6 7
ME F216,Tutorial,1,Kandula Uday Kumar Reddy,G103,T,9
ME F216,Tutorial,2,TO BE ANNOUNCED,G104,T,9
ME F216,Tutorial,3,Ashish Saurabh,G105,T,9
ME F216,Tutorial,4,M Abhinav,G107,T,9
ME F217,APPLIED THERMODYNAMICS,1,M SRINIVAS,F103,T Th S,4
ME F217,Practical,1,Santanu Prasad Datta,E122,F,6 7
ME F217,Practical,2,S S Deshmukh,E122,T,2 3
ME F217,Practical,3,Satish K Dubey,E122,W,6 7
ME F217,Tutorial,1,R Parameshwaran,G103,S,1
ME F217,Tutorial,2,Satish K Dubey,G104,S,1
ME F217,Tutorial,3,M Srinivas,G105,S,1
ME F217,Tutorial,4,KRC Murthy,G106,S,1
ME F314,DESIGN OF MACHINE ELEMENTS,1,SP REGALLA,F103,M W F,7
ME F314,Tutorial,1,Suswanth Poluru,G105,M,1
ME F314,Tutorial,2,Veeraiahgari Vamshi,G106,M,1
ME F314,Tutorial,3,Himanshu shukla,G107,M,1
ME F314,Tutorial,4,Vicky Lad,G202,M,1
ME F315,ADVANCED MANUFACTURING PROCESSES,1,N SURESH KUMAR REDDY,F103,T Th,5
ME F315,Practical,1,N Suresh Kumar Reddy,WS,W,4 5
ME F315,Practical,2,Jose Santo,WS,F,4 5
ME F315,Practical,3,Mada Rukmini Sai Rupa Sri,WS,T,7 8
ME F315,Tutorial,1,Jose Santo,G103,W,1
ME F315,Tutorial,2,Gunashekar G,G104,W,1
ME F315,F106,3,Ahsan Ul Haq,G105,W,1
ME F315,F106,4,P  Chennakesava Sai,G107,W,1
ME F316,MANUFACTURING MANAGEMENT,1,AMRITHA PRIYADARSHINI,F103,T Th,9
ME F316,Tutorial,1,Jakkam Leela Kishan,G103,F,1
ME F316,Tutorial,2,Vicky Lad,G104,F,1
ME F316,Tutorial,3,Sreejith S,G105,F,1
ME F316,Tutorial,4,Mada Rukmini Sai Rupa Sri,G106,F,1
ME F317,"ENGINES, MOTORS AND MOBILITY",1,N JALAIAH,F103,T S,3
ME F317,Tutorial,1,K Monika,G103,M,5
ME F317,Tutorial,2,Meduri Sitaram,G104,M,5
ME F317,Tutorial,3,Joshua Kumar Saladi,G106,M,5
ME F317,Tutorial,4,Kalyani Panigrahi,G108,M,5
ME F418,ROCKET AND SPACECRAFT PROPULSION,1,SUPRADEEPAN K,G205,M W F,3
ME F424,ENERGY MANAGEMENT,1,S S DESHMUKH,G208,M W F,3
ME F425,ADDITIVE MANUFACTURING,1,PAVAN KUMAR P,G204,M W F,2
ME F428,SMART MATERIALS,1,PUNNAG CHATTERJEE,G205,M W F,9
ME F428,Practical,1,Punnag Chatterjee,LAB,Th,7 8
ME F443,QUALI CONTRO ASSUR & REL,1,C P KIRAN,G207,T Th S,2
ME F485,NUMERICAL TECHN  FOR FLOW AND HEAT TRANSFER,1,MRINAL KETAN JAGIRDAR,G203,T Th S,4
ME G511,MECHANISMS & ROBOTICS,1,YV DASESWARA RAO,G207,T Th S,3
ME G511,Practical,1,YV Daseswara Rao,D208 B,M W,7 8 9
ME G512,FINITE ELEMENT METHOD,1,AMOL VUPPULURI,G206,M W F,3
ME G512,Practical,1,Gaurav Sharma,D208 C,F,4 5
ME G513,HEATING & COOL OF BUILD,1,R PARAMESHWARAN,G206,M W F,4
ME G513,Practical,1,R Parameshwaran,LAB,F,7 8
ME G521,MECHANICAL SYSTEM DESIGN,1,ARNAB GUHA,G108,T Th S,1
ME G521,Practical,1,Arnab Guha,D208 B,F,7 8
ME G532,MACHINE TOOL ENGINEERING,1,KUNDAN KUMAR SINGH,G206,T Th S,3
ME G532,Practical,1,Gururaja S,WS,T Th,9 10
ME G535,ADV ENGG MATHEMATICS,1,KRC MURTHY,G205,T Th S,5
ME G535,Practical,1,KRC Murthy,D208 A,Th,8 9
ME G535,Practical,1,KRC Murthy,D208 A,F,4 5
ME G539,COMP INTEGRATED MANUFACT,1,KURRA SURESH,G206,T Th S,2
ME G539,Practical,1,Vishista kaushik,LAB,F,5 6
ME G613,ADVANCED FINITE ELEMENT MODELLING & ANALYSIS,1,AMOL VUPPULURI,G205,T Th S,2
ME G613,Practical,1,Amol Vuppuluri,D208 B,F,5 6
ME G641,THEORY OF ELASTICITY & PLAST,1,BRAJESH KUMAR PANIGR,G204,M W F,1
ME G641,Practical,1,Brajesh Kumar Panigrahi,E002,M W,5 6
MEL G611,IC FABRICATION TECHNOLOGY,1,PARIKSHIT PARSHURAM S,I122,M W F,4
MEL G611,Practical,1,Sohel Siraj,I214,T S,2 3
MEL G621,VLSI DESIGN,1,S GURUNARAYANAN,F108,T Th S,5
MEL G621,Practical,1,S Gurunarayanan,I124,M F,7 8
MEL G621,Practical,2,TO BE ANNOUNCED,I124,W,7 8
MEL G621,Practical,2,TO BE ANNOUNCED,I124,F,9 10
MEL G624,ADV VLSI ARCHITECTURES,1,S K SAHOO,I211,T Th S,5
MEL G624,Practical,1,S K Sahoo,I124,T Th,2 3
MEL G626,VLSI TEST & TESTABILITY,1,SYED ERSHAD AHMED,F101,M W F,9
MEL G626,Practical,1,Syed Ershad Ahmed,I124,Th,7 8
MEL G626,Practical,1,Syed Ershad Ahmed,I124,S,2 3
MEL G631,PHYSICS AND MODELLING OF MICROELECTRONIC DEVICES,1,SURYA SHANKAR DAN,I213,T Th S,4
MEL G631,Practical,1,Soumi Saha,I124,T Th,9 10
MF F311,MECHATRONICS & AUTOMAT,1,ARSHAD JAVED,G202,T Th S,4
MF F311,Practical,1,Arshad Javed,LAB,Th,7 8
MGTS F211,PRINCIPLES OF MANAGEMENT,1,SWATI ALOK,F105,M W F,10
MGTS F211,Tutorial,1,Swati Alok,F208,W,1
MGTS F316,MANAGERIAL & LEADERSHIP SKILLS,1,R RAGHUNATHAN,J217,M W F,8
MSE G511,MECHATRONICS,1,ARSHAD JAVED,G202,T Th S,4
MSE G511,Practical,1,Arshad Javed,LAB,Th,9 10
MSE G521,WORLD-CLASS MANUFACTUR,1,RAVI SHANKER VIDYARTH,G205,T Th S,3
MSE G521,Practical,1,Ravi Shanker Vidyarthy,LAB,M,7 8
PHA F211,PHARMACEUTICAL ANALYSIS,1,BALRAM GHOSH,G106,M W,2
PHA F211,Practical,1,Balram Ghosh,B212,M,6 7
PHA F211,Practical,2,Balram Ghosh,B212,W,6 7
PHA F211,Tutorial,2,Balram Ghosh,G106,F,2
PHA F215,INTRODUCTION TO MOLECULAR BIO & IMMUNOLOGY,1,ARTI DHAR,G106,T Th,4
PHA F215,Practical,1,Arti Dhar,A009,F,6 7
PHA F215,Practical,2,Arti Dhar,A009,Th,6 7
PHA F215,Tutorial,2,Arti Dhar,G106,S,4
PHA F217,PHARMACEUTICAL MICROBIOLOGY,1,D SRIRAM,G106,M W,3
PHA F217,Practical,1,D Sriram,A025,Th,2 3
PHA F217,Practical,2,D Sriram,A025,T,6 7
PHA F217,Tutorial,2,D Sriram,G106,F,3
PHA F244,PHYSICAL PHARMACY,1,V V KRISHNA VENUGANTI,G106,M W,9
PHA F244,Practical,1,V V Krishna Venuganti,A022,T,7 8
PHA F244,Tutorial,1,V V Krishna Venuganti,G106,F,9
PHA F311,PHARMACOLOGY I,1,ONKAR KULKARNI,G106,T Th,5
PHA F311,Practical,1,Onkar Kulkarni,A009,M,4 5
PHA F311,Tutorial,1,Onkar Kulkarni,G106,S,5
PHA F312,MEDICINAL CHEMISTRY I,1,P YOGEESWARI,G106,T Th,3
PHA F312,Practical,1,P Yogeeswari,A025,Th,7 8
PHA F312,Tutorial,1,P Yogeeswari,G106,S,3
PHA F315,PHARMACEUTICAL FORMULATIONS II,1,NIRMAL J,G106,T Th,9
PHA F315,Practical,1,Nirmal J,A022,F,4 5
PHA F315,Tutorial,1,Nirmal J,G106,W,1
PHA F415,PATHOPHYSIOLOGY,1,ABHIJEET RAJENDRA JOS,G107,M W F,9
PHA F422,COSMETIC SCIENCE,1,D SRIRAM,I211,T S,4
PHA F422,Practical,1,D Sriram,B212,F,7 8
PHA G535,BIOMATERIALS,1,NIRMAL J,G107,T Th S,3
PHA G537,PARENTERAL PRODUCT DEVELOPMENT,1,AKASH C,G204,M W F,4
PHA G538,IMMUNOPHARMACOLOGY,1,ONKAR KULKARNI,G203,M W F,3
PHA G540,MODERN PHARMACEUTICAL ANALYTICAL TECHNIQUES,1,A SAJELI BEGUM,G107,T Th S,5
PHA G540,Practical,1,A Sajeli Begum,B108,F,7 8 9
PHA G542,ADVANCE PHYSICAL PHARMA,1,V V KRISHNA VENUGANTI,G201,M W F,5
PHA G542,Practical,1,V V Krishna Venuganti,A022,Th,7 8 9 10
PHA G543,CLINICAL RESEARCH,1,ARTI DHAR,G205,M W F,2
PHA G545,IPR AND PHARMACEUTICALS,1,P YOGEESWARI,G204,M W F,3
PHA G547,QUALI-BY-DESIGN IN PHARMACEUTICAL PROD DEVEL,1,R PUNNA RAO,G108,T Th S,3
PHA G547,Practical,1,R Punna Rao,A022,F,7 8 9 10
PHA G613,PHARMACEUTICAL BIOTECH,1,SWATI BISWAS,G107,M W F,4
PHA G613,Practical,1,Swati Biswas,A009,M W,8 9
PHA G619,SCR METHOD & TECH IN PHA,1,SRINIVAS PRASAD K,G106,M W F,4
PHA G619,Practical,1,Srinivas Prasad K,A009,T Th,8 9
PHA G625,CELLULAR AND MOLECULAR PHARMACOLOGY,1,SRINIVAS PRASAD K,G105,T Th S,3
PHA G626,PHARMACOVIGILANCE,1,ABHIJEET RAJENDRA JOS,G107,M W F,5
PHA G632,DOSAGE FORM DESIGN,1,R PUNNA RAO,G107,M W F,3
PHA G632,Practical,1,R Punna Rao,A022,W,7 8 9 10
PHY F110,PHYSICS LABORATORY,1,B HARIHARA  VENKATARA,A222,T,5 6
PHY F110,PHYSICS LABORATORY,2,Sk Jahanur Hoque,A223,Th,5 6
PHY F110,PHYSICS LABORATORY,3,Tanay Nag,A222,S,3 4
PHY F110,PHYSICS LABORATORY,4,Sk Jahanur Hoque,A223,F,2 3
PHY F110,PHYSICS LABORATORY,5,Tanay Nag,A222,T,3 4
PHY F110,PHYSICS LABORATORY,6,Suvadip Das,A223,M,7 8
PHY F110,PHYSICS LABORATORY,7,Suvadip Das,A222,M,2 3
PHY F110,PHYSICS LABORATORY,8,K V Shiv Chaitanya,A223,F,7 8
PHY F110,PHYSICS LABORATORY,9,Aranya Bhuti Bhattacherjee,A222,Th,3 4
PHY F110,PHYSICS LABORATORY,10,VSN Murthy,A223,W,7 8
PHY F110,PHYSICS LABORATORY,11,Sashideep Gutti,A222,W,2 3
PHY F111,MECH OSCIL & WAVES,1,PK THIRUVIKRAMAN,F102,M W F,9
PHY F111,MECH OSCIL & WAVES,2,PK Thiruvikraman,F103,M W F,1
PHY F111,Tutorial,1,Rickmoy Samanta,G201,T Th,7
PHY F111,Tutorial,2,Subhadeep Roy,G202,T Th,7
PHY F111,Tutorial,3,Asrarul Haque,G203,T Th,7
PHY F111,Tutorial,4,Subrahmanya Bhima Sankar,G204,T Th,7
PHY F111,Tutorial,5,Rickmoy Samanta,G201,T Th,1
PHY F111,Tutorial,6,Subhadeep Roy,G202,T Th,1
PHY F111,Tutorial,7,Asrarul Haque,G203,T Th,1
PHY F111,Tutorial,8,Subrahmanya Bhima Sankar,G204,T Th,1
PHY F112,GENERAL PHYSICS,1,B HARIHARA  VENKATARA,G202,T Th S,2
PHY F112,Tutorial,1,B Harihara  Venkataraman,G206,Th,8
PHY F211,CLASSICAL MECHANICS,1,MEENAKSHI V,G201,M W F,3
PHY F211,Tutorial,1,Meenakshi V,G201,S,1
PHY F212,ELECTROMAGNETIC THEO I,1,SASHIDEEP GUTTI,F107,T Th S,4
PHY F212,ELECTROMAGNETIC THEO I,2,VSN Murthy,F108,T Th S,4
PHY F212,ELECTROMAGNETIC THEO I,3,Subhash N. Karbelkar,G205,T Th S,4
PHY F212,ELECTROMAGNETIC THEO I,4,Rahul Nigam,G206,T Th S,4
PHY F212,ELECTROMAGNETIC THEO I,5,Swastik Bhattacharya,G207,T Th S,4
PHY F212,ELECTROMAGNETIC THEO I,6,K V Shiv Chaitanya,G208,T Th S,4
PHY F212,Tutorial,1,Sashideep Gutti,F107,T,1
PHY F212,Tutorial,2,VSN Murthy,F108,T,1
PHY F212,Tutorial,3,Subhash N. Karbelkar,G205,T,1
PHY F212,Tutorial,4,Rahul Nigam,G206,T,1
PHY F212,Tutorial,5,Swastik Bhattacharya,G207,T,1
PHY F212,Tutorial,6,K V Shiv Chaitanya,G208,T,1
PHY F213,OPTICS,1,KANNAN RAMASWAMY,G201,M W F,8
PHY F213,Tutorial,1,Kannan Ramaswamy,G205,Th,1
PHY F214,ELEC MAGNET & OPTICS LAB,1,ARAVINDA N RAGHAVAN,A210,M W,6 7
PHY F214,ELEC MAGNET & OPTICS LAB,2,Aravinda N Raghavan,A211,T Th,2 3
PHY F311,QUANTUM MECHANICS II,1,PRASANT SAMANTRAY,G201,T Th S,2
PHY F311,Tutorial,1,Prasant Samantray,G205,T,8
PHY F312,STATISTICAL MECHANICS,1,SARMISTHA BANIK,G201,M W F,9
PHY F312,Tutorial,1,Sarmistha Banik,G205,Th,9
PHY F313,COMPUTATIONAL PHYSICS,1,PK THIRUVIKRAMAN,G201,M W F,4
PHY F313,Tutorial,1,PK Thiruvikraman,G205,Th,8
PHY F317,INTRODUCTION TO RADIO ASTRONOMY,1,SARMISTHA BANIK,G202,M W F,3
PHY F346,LASER SCIENCE & TECHNOLOGY,1,ARANYA BHUTI BHATTACH,G202,M W F,8
PHY F417,EXPT METHODS OF PHYSICS,1,SOURI BANERJEE,G201,T Th,10 11
PHY F420,QUANTUM OPTICS,1,SUBRAHMANYA BHIMA SA,G202,M W F,2
